timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
36252970,-1.275778,-3.981495,-2.705717,2.628636,0.714970,-3.343606,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36254967,-1.272297,-3.926373,-2.654076,2.599335,0.690889,-3.290224,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36256964,-1.240110,-3.905773,-2.665663,2.572942,0.712776,-3.285718,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36258960,-1.221514,-3.877306,-2.655792,2.549410,0.717139,-3.266549,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36260957,-1.232529,-3.836966,-2.604437,2.534747,0.685954,-3.220701,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36262954,-1.224947,-3.823662,-2.598715,2.524304,0.686884,-3.211188,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36264950,-1.219749,-3.817749,-2.598000,2.518749,0.689125,-3.207874,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36266947,-1.260281,-3.782368,-2.522087,2.521324,0.630903,-3.152227,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36268944,-1.308632,-3.760862,-2.452230,2.534747,0.571799,-3.106546,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36270943,-1.337481,-3.747177,-2.409697,2.542329,0.536108,-3.078437,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36272938,-1.361609,-3.729677,-2.368069,2.545643,0.503230,-3.048873,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36274934,-1.360846,-3.718615,-2.357769,2.539730,0.498462,-3.038192,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36276930,-1.345396,-3.719807,-2.374411,2.532601,0.514507,-3.047109,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36278927,-1.310205,-3.718376,-2.408171,2.514291,0.548983,-3.063273,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36280924,-1.281929,-3.721523,-2.439594,2.501726,0.578833,-3.080559,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36282920,-1.258087,-3.723192,-2.465105,2.490640,0.603509,-3.094149,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36284917,-1.265097,-3.724241,-2.459145,2.494669,0.597024,-3.091693,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36286914,-1.287270,-3.716421,-2.429152,2.501845,0.570941,-3.072786,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36288910,-1.310921,-3.691053,-2.380133,2.500987,0.534606,-3.035593,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36290907,-1.348543,-3.685951,-2.337408,2.517247,0.494432,-3.011680,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36292903,-1.373863,-3.695679,-2.321815,2.534771,0.473976,-3.008747,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36294900,-1.372337,-3.678894,-2.306557,2.525616,0.467110,-2.992725,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36296897,-1.348782,-3.673887,-2.325106,2.511334,0.488162,-2.999496,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36298893,-1.309633,-3.685045,-2.375412,2.497339,0.532889,-3.030229,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36300890,-1.281691,-3.690481,-2.408791,2.486086,0.563550,-3.049636,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36302886,-1.260138,-3.692436,-2.432299,2.476287,0.586081,-3.062367,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36304883,-1.254272,-3.686857,-2.432585,2.470565,0.589156,-3.059721,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36306880,-1.277876,-3.675795,-2.397919,2.476835,0.560021,-3.036857,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36308876,-1.322365,-3.664589,-2.342224,2.493477,0.509930,-3.003407,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36310873,-1.349068,-3.651571,-2.302504,2.500319,0.476718,-2.977037,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36312869,-1.357031,-3.629971,-2.272940,2.493501,0.457954,-2.951455,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36314866,-1.352501,-3.621769,-2.269268,2.487135,0.458384,-2.945518,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36316863,-1.329708,-3.628778,-2.299070,2.479243,0.484681,-2.963924,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36318860,-1.283598,-3.629398,-2.345800,2.456498,0.531101,-2.987599,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36320856,-1.244450,-3.624773,-2.380323,2.434611,0.567937,-3.002548,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36322853,-1.226330,-3.627872,-2.401543,2.427101,0.587606,-3.014708,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36324849,-1.222897,-3.632689,-2.409792,2.427793,0.593448,-3.021240,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36326846,-1.249218,-3.639269,-2.390051,2.444243,0.570416,-3.014660,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
